nace,esize_class,gender,age_class,lpk,education,experience,target,xgb,grb,rf,lm,svr,tf
E,GT_250,M,30-39,p712,G2,0,4.98,4.13661,4.127368812405541,4.240344287479607,4.443974361867028,4.318448236814289,4.5206027
E,GT_250,F,40-49,p313,G2,28,4.51,5.863672,5.727142569195059,6.174826420865781,6.128029463960258,5.312712086084138,5.711145
E,GT_250,M,40-49,p313,G2,6,4.74,6.070632,6.419515320448198,6.112918550568775,6.21638648855101,5.88347322549898,6.2496433
E,GT_250,M,50-59,p832,G2,3,4.4,4.235384,4.423338030316545,4.454167463376843,3.9889476122448038,3.988602982485197,4.0037956
E,GT_250,F,14-29,p261,G4,2,7.92,7.417412,7.405400874286097,7.611489703304753,7.708257722722777,6.933045374481926,6.7845316
E,GT_250,M,50-59,p712,G2,2,3.83,4.424441,4.59952641106098,4.609730900955545,4.046714567831837,4.292434124064329,4.6743317
E,GT_250,F,50-59,p422,G2,0,4.21,4.128586,4.038919098281121,4.010154741881427,3.8728160650408916,4.222775228145013,4.0631013
E,GT_250,F,50-59,p422,G2,23,4.27,4.546001,4.539809522612738,4.663517218367817,4.2415849079982015,4.882777813605907,4.31275
E,GT_250,M,40-49,p961,G1,24,3.02,3.5016487,3.3979420910854654,3.2057150598986266,3.6268226025461465,3.6330110570302976,3.1520863
E,GT_250,M,60+,p712,G2,17,4.48,4.3994412,4.613428079502331,4.9359142282635045,4.079572504588047,4.852043612981483,4.581366
E,GT_250,M,50-59,p712,G2,9,4.56,4.6428914,4.877228623975909,4.828382637647345,4.158948563514497,4.551465237613478,4.5936117
E,GT_250,M,30-39,p133,G3,2,8.72,11.044492,11.594336143894411,11.086687476716492,11.110499033113058,10.68692638213906,14.070374
E,GT_250,M,50-59,p313,G2,24,4.55,6.600382,6.439621204290584,6.89800131737881,6.253813250955851,6.466116507816505,6.7115517
E,GT_250,M,30-39,p712,G2,4,4.2,4.7554607,4.973811905648781,4.618569020708016,4.50810807368569,4.812946264758924,4.826354
E,GT_250,M,14-29,p712,G2,5,4.1,4.5647335,5.015836346348102,4.675339489063697,4.220325103127248,4.551123588770237,4.0116906
E,GT_250,F,14-29,p325,G3,3,5.68,4.76395,4.91996191220301,4.743035376272596,4.568461191107556,5.066947775648426,4.639209
E,GT_250,M,30-39,p214,G3,0,7.15,6.985233,6.863035124306095,6.915077211818593,6.918878392699045,7.1294647414334404,6.1363883
E,GT_250,M,14-29,p311,G3,0,4.92,5.564748,5.52990053075213,5.420703717869148,5.667557287849597,5.224591853573516,4.608792
E,GT_250,M,50-59,p215,G4,24,7.32,8.016169,7.497463000291566,7.567268827609404,7.200077499056375,7.830972073538431,7.256062
