nace,esize_class,gender,age_class,lpk,education,experience,target
C,50_249,M,30-39,833,G2,0,5.38
C,50_249,F,40-49,241,G3,12,7.46
C,50_249,M,30-39,312,G2,3,6.12
C,50_249,F,60+,214,G4,9,9.74
C,50_249,F,50-59,311,G2,10,5.1
C,1_49,F,50-59,753,G2,3,3.81
C,1_49,F,40-49,754,G2,1,4.22
C,1_49,F,40-49,214,G4,7,7.64
G,1_49,F,50-59,243,G4,16,10.11
G,1_49,F,50-59,241,G4,13,8.85
O,1_49,M,40-49,134,G4,9,5.59
O,1_49,M,14-29,134,G2,3,6.19
O,1_49,M,30-39,962,G2,2,2.19
O,1_49,M,40-49,962,G2,10,2.72
N,GT_250,M,50-59,421,G2,12,3.62
N,GT_250,F,50-59,421,G2,10,3.34
N,GT_250,M,50-59,541,G2,2,2.86
N,GT_250,M,60+,541,G2,2,2.61
N,GT_250,M,40-49,541,G2,0,2.83
N,GT_250,M,50-59,541,G2,6,2.86
N,GT_250,F,30-39,421,G3,5,4.5
N,GT_250,M,60+,541,G2,4,3.12
N,GT_250,M,50-59,421,G2,1,3.91
N,GT_250,M,14-29,541,G2,0,2.84
N,GT_250,M,60+,541,G2,9,2.86
N,GT_250,F,30-39,432,G3,1,4.5
N,GT_250,M,50-59,121,G2,17,5.15
N,GT_250,F,40-49,541,G2,2,2.47
N,GT_250,M,30-39,421,G3,0,4.81
N,GT_250,F,40-49,541,G2,0,2.9
N,GT_250,M,30-39,541,G2,6,2.91
N,GT_250,M,50-59,541,G2,6,3.05
N,GT_250,F,14-29,421,G3,0,3.2
N,GT_250,M,40-49,541,G2,13,2.96
N,GT_250,M,30-39,541,G3,15,2.97
N,GT_250,M,30-39,121,G3,9,16.46
N,GT_250,M,50-59,311,G2,12,2.21
N,GT_250,M,50-59,132,G2,17,4.0
N,GT_250,M,50-59,541,G2,8,3.05
N,GT_250,M,40-49,421,G2,11,3.5
N,GT_250,M,60+,541,G2,7,2.47
N,GT_250,M,50-59,541,G2,3,2.95
N,GT_250,M,60+,421,G2,16,3.5
N,GT_250,M,40-49,541,G2,20,2.78
N,GT_250,M,40-49,541,G2,13,2.79
N,GT_250,M,50-59,541,G2,12,2.82
N,GT_250,M,30-39,541,G2,9,2.78
N,GT_250,M,50-59,541,G2,4,2.79
B,1_49,F,50-59,432,G2,22,4.37
B,1_49,M,30-39,834,G1,1,4.61
B,1_49,M,50-59,833,G2,32,5.57
B,1_49,M,60+,962,G1,13,2.47
N,50_249,M,40-49,832,G1,6,4.91
N,50_249,M,40-49,933,G2,1,3.73
N,50_249,F,50-59,241,G2,10,4.79
N,50_249,M,50-59,933,G2,0,2.45
N,50_249,M,50-59,933,G2,1,3.62
N,50_249,M,50-59,741,G2,23,5.31
N,50_249,M,60+,711,G3,8,4.51
N,50_249,M,50-59,833,G2,2,4.9
C,50_249,M,40-49,722,G2,19,6.72
C,50_249,F,60+,214,G2,14,8.74
C,50_249,F,30-39,241,G3,4,6.76
C,50_249,M,50-59,214,G3,19,8.35
C,50_249,M,40-49,216,G3,20,9.45
C,50_249,M,30-39,722,G2,5,6.54
C,50_249,F,60+,911,G2,7,2.87
C,50_249,M,60+,731,G2,14,4.57
C,50_249,F,60+,911,G2,20,2.76
C,50_249,M,40-49,722,G2,13,6.3
F,1_49,F,40-49,432,G2,2,2.92
F,1_49,M,40-49,933,G2,0,2.21
F,1_49,M,30-39,742,G3,0,6.2
B,1_49,M,40-49,211,G4,7,9.31
B,1_49,M,40-49,211,G4,5,10.84
O,1_49,F,50-59,213,G3,14,4.72
O,1_49,M,50-59,961,G2,3,2.17
O,1_49,F,60+,911,G3,18,2.4
O,1_49,F,50-59,263,G3,21,4.72
C,1_49,M,50-59,112,G4,22,9.23
C,1_49,M,60+,833,G2,18,5.86
C,1_49,F,30-39,132,G3,13,8.42
C,1_49,M,50-59,932,G2,1,3.77
C,1_49,M,14-29,834,G2,0,3.99
M,50_249,M,30-39,332,G3,6,7.52
M,50_249,M,50-59,122,G4,9,19.1
M,50_249,F,30-39,332,G3,11,7.47
M,50_249,F,40-49,332,G3,7,8.01
M,50_249,F,14-29,332,G4,1,7.66
M,50_249,F,14-29,122,G4,1,13.96
D,1_49,F,50-59,241,G4,19,9.45
R,1_49,F,50-59,262,G2,25,3.62
R,1_49,F,60+,262,G4,38,4.05
R,1_49,F,40-49,262,G4,14,4.05
R,1_49,F,30-39,134,G4,8,4.73
C,1_49,F,30-39,132,G3,13,6.56
C,1_49,M,14-29,816,G2,2,3.84
C,1_49,M,30-39,432,G2,3,5.46
C,1_49,M,30-39,933,G2,1,3.48
C,1_49,F,40-49,816,G2,11,3.13
S,50_249,F,60+,121,G4,23,11.17
K,1_49,F,40-49,421,G2,13,2.22
K,1_49,F,14-29,421,G2,3,2.45
C,GT_250,M,30-39,432,G2,5,3.97
C,GT_250,M,30-39,833,G3,0,3.51
C,GT_250,F,60+,432,G2,14,4.72
C,GT_250,M,30-39,243,G3,10,6.08
C,GT_250,M,40-49,833,G2,15,4.64
C,GT_250,M,30-39,834,G1,5,3.27
C,GT_250,M,14-29,933,G2,2,3.66
C,GT_250,M,40-49,833,G2,5,3.95
C,GT_250,F,14-29,331,G3,2,3.89
C,GT_250,M,40-49,816,G1,11,4.63
C,GT_250,M,14-29,932,G2,0,3.43
C,GT_250,M,30-39,932,G2,0,3.17
C,GT_250,M,30-39,933,G2,16,2.98
C,GT_250,M,50-59,933,G2,2,3.9
C,GT_250,F,50-59,314,G2,32,3.35
C,GT_250,M,40-49,833,G2,7,3.63
C,GT_250,M,40-49,723,G1,13,5.42
C,GT_250,F,40-49,332,G2,24,4.14
C,GT_250,M,50-59,933,G2,6,3.51
C,GT_250,F,50-59,932,G2,10,3.12
C,GT_250,F,50-59,132,G4,30,7.15
C,GT_250,M,30-39,933,G2,0,3.58
C,GT_250,F,30-39,332,G2,0,3.33
C,GT_250,M,40-49,723,G4,4,4.1
C,GT_250,M,50-59,711,G2,23,4.1
C,GT_250,M,60+,833,G2,24,3.34
C,GT_250,F,40-49,816,G2,22,6.34
C,GT_250,F,60+,214,G4,11,5.17
C,GT_250,M,50-59,243,G4,15,6.26
C,GT_250,F,60+,243,G2,15,5.72
C,GT_250,F,50-59,243,G4,15,5.69
C,GT_250,F,50-59,243,G4,11,5.5
C,GT_250,F,40-49,932,G2,2,3.03
C,GT_250,F,30-39,312,G3,11,5.41
C,GT_250,M,50-59,332,G2,17,4.15
C,GT_250,M,14-29,933,G2,1,3.68
C,GT_250,M,50-59,723,G2,12,4.09
C,GT_250,F,50-59,932,G2,0,2.88
C,GT_250,M,30-39,933,G1,1,3.51
C,GT_250,M,14-29,933,G2,0,3.51
C,GT_250,M,60+,818,G2,29,4.24
C,GT_250,M,50-59,833,G2,10,4.68
C,GT_250,F,50-59,833,G2,17,4.95
C,GT_250,M,14-29,816,G2,2,6.07
C,GT_250,F,30-39,816,G2,5,4.0
C,GT_250,M,50-59,721,G2,3,5.36
C,GT_250,M,40-49,132,G3,18,7.04
C,GT_250,F,30-39,816,G2,17,4.26
C,GT_250,F,50-59,312,G2,12,5.37
C,GT_250,M,60+,741,G2,25,3.71
C,GT_250,M,30-39,816,G2,1,4.91
M,50_249,M,14-29,214,G3,7,10.59
M,50_249,M,40-49,214,G3,12,6.71
M,50_249,M,30-39,214,G3,3,7.66
M,50_249,M,50-59,541,G2,11,3.06
M,50_249,M,50-59,214,G4,20,7.87
M,50_249,M,60+,541,G2,3,3.01
M,50_249,M,50-59,214,G4,11,7.17
M,50_249,M,50-59,541,G2,10,2.81
M,50_249,F,40-49,523,G2,13,4.53
M,50_249,M,60+,214,G4,20,9.5
I,1_49,F,60+,512,G2,2,2.45
I,1_49,F,14-29,513,G2,0,2.28
I,1_49,M,40-49,141,G2,22,3.33
I,1_49,F,50-59,512,G2,1,2.5
I,1_49,F,30-39,513,G2,1,2.28
I,1_49,F,50-59,911,G2,3,2.92
Q,50_249,F,40-49,263,G4,1,2.64
Q,50_249,F,14-29,263,G3,1,3.5
Q,50_249,M,60+,711,G2,0,2.5
Q,50_249,F,50-59,532,G2,1,2.34
Q,50_249,F,14-29,341,G2,0,2.74
Q,50_249,F,40-49,263,G4,10,4.6
Q,50_249,F,40-49,911,G2,0,2.28
Q,50_249,F,50-59,341,G2,14,2.97
Q,50_249,F,14-29,226,G3,1,3.02
C,50_249,M,60+,112,G4,1,19.03
C,50_249,M,50-59,832,G2,15,4.21
C,50_249,M,30-39,722,G2,8,5.44
C,50_249,F,50-59,932,G2,4,4.58
C,50_249,M,60+,312,G4,15,6.11
C,50_249,F,50-59,263,G4,0,4.2
C,50_249,M,14-29,722,G2,3,4.49
C,50_249,F,50-59,932,G2,7,4.65
C,50_249,M,40-49,722,G2,15,4.41
C,50_249,M,40-49,812,G3,11,6.23
C,50_249,M,50-59,831,G2,9,6.5
C,50_249,M,50-59,962,G2,0,2.89
M,1_49,F,14-29,334,G3,1,4.05
M,1_49,F,30-39,241,G4,8,8.39
G,1_49,F,50-59,513,G2,0,2.5
G,1_49,F,50-59,513,G2,1,2.77
G,1_49,F,40-49,332,G4,12,2.51
C,50_249,M,14-29,752,G2,1,4.74
C,50_249,M,40-49,752,G2,16,5.51
C,50_249,F,14-29,752,G2,3,5.14
C,50_249,F,40-49,752,G2,8,4.82
C,50_249,M,14-29,752,G2,1,5.97
C,50_249,M,14-29,752,G2,3,5.09
C,50_249,F,40-49,752,G2,4,3.98
C,50_249,M,30-39,834,G2,7,5.69
C,50_249,M,30-39,752,G2,13,5.54
C,50_249,F,30-39,752,G1,5,5.71
C,50_249,M,60+,962,G2,12,3.63
C,50_249,F,30-39,752,G2,3,6.54
C,50_249,F,14-29,752,G2,2,5.8
C,50_249,M,50-59,752,G2,3,5.81
F,1_49,M,40-49,741,G2,21,4.94
F,1_49,M,40-49,132,G4,0,6.83
F,1_49,M,40-49,741,G2,0,3.32
G,1_49,F,14-29,242,G3,5,6.56
G,1_49,M,40-49,432,G3,4,5.75
G,1_49,M,30-39,243,G3,2,6.34
