lpk,hourly_rate,esize_class_orig,esize_class_1_49,esize_class_50_249,esize_class_GT_250,gender_orig,gender_F,gender_M,age_class_orig,age_class_14-29,age_class_30-39,age_class_40-49,age_class_50-59,age_class_60+,education_orig,education_G1,education_G2,education_G3,education_G4,lpk1,lpk2,lpk1_nc,outlier,nace_orig,nace_B,nace_C,nace_D,nace_E,nace_F,nace_G,nace_H,nace_I,nace_J,nace_K,nace_L,nace_M,nace_N,nace_O,nace_P,nace_Q,nace_R,nace_S
515,3.48,50_249,0,1,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,5,51,500,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
515,3.48,50_249,0,1,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,5,51,500,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
961,2.19,50_249,0,1,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,9,96,900,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
911,4.16,50_249,0,1,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,9,91,900,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
512,5.0,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,5,51,500,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
334,3.55,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G4,0,0,0,1,3,33,300,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
512,5.09,50_249,0,1,0,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,5,51,500,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
832,2.19,1_49,1,0,0,M,0,1,40-49,0,0,1,0,0,G2,0,1,0,0,8,83,478,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
431,2.19,1_49,1,0,0,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,4,43,478,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
522,4.38,1_49,1,0,0,F,1,0,30-39,0,1,0,0,0,G2,0,1,0,0,5,52,500,False,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
522,3.83,1_49,1,0,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,5,52,500,False,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
512,3.29,1_49,1,0,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,5,51,500,False,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
513,3.29,1_49,1,0,0,F,1,0,30-39,0,1,0,0,0,G2,0,1,0,0,5,51,500,False,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
513,2.2,1_49,1,0,0,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,5,51,500,False,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
243,3.62,1_49,1,0,0,M,0,1,30-39,0,1,0,0,0,G2,0,1,0,0,2,24,200,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,11.52,1_49,1,0,0,F,1,0,60+,0,0,0,0,1,G4,0,0,0,1,1,14,100,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
932,2.84,1_49,1,0,0,F,1,0,30-39,0,1,0,0,0,G2,0,1,0,0,9,93,900,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
932,3.32,1_49,1,0,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,9,93,900,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
932,2.97,1_49,1,0,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,9,93,900,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
932,2.89,1_49,1,0,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,9,93,900,False,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,5.38,1_49,1,0,0,F,1,0,30-39,0,1,0,0,0,G4,0,0,0,1,1,12,100,False,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,5.52,1_49,1,0,0,F,1,0,40-49,0,0,1,0,0,G4,0,0,0,1,1,12,100,False,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243,7.34,1_49,1,0,0,F,1,0,14-29,1,0,0,0,0,G4,0,0,0,1,2,24,200,False,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
731,2.68,50_249,0,1,0,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,7,73,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,2.19,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,7,73,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,2.19,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,7,73,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2.46,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,31,300,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,2.37,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,7,73,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,2.24,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,7,73,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,2.31,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,7,73,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2.73,50_249,0,1,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,31,300,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,2.19,50_249,0,1,0,M,0,1,60+,0,0,0,0,1,G2,0,1,0,0,5,54,500,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,2.3,1_49,1,0,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,34,300,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
512,2.3,1_49,1,0,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,5,51,500,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
513,2.28,1_49,1,0,0,M,0,1,30-39,0,1,0,0,0,G2,0,1,0,0,5,51,500,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
941,2.19,1_49,1,0,0,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,9,94,900,False,I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
731,2.73,50_249,0,1,0,F,1,0,40-49,0,0,1,0,0,G3,0,0,1,0,7,73,478,False,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,13.52,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,4.82,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.77,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,9.8,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,9.33,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
261,12.03,GT_250,0,0,1,M,0,1,40-49,0,0,1,0,0,G3,0,0,1,0,2,26,200,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,13.63,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G4,0,0,0,1,1,13,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,6.79,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G4,0,0,0,1,1,13,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,19.08,GT_250,0,0,1,F,1,0,40-49,0,0,1,0,0,G4,0,0,0,1,1,13,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,5.11,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,7.71,GT_250,0,0,1,M,0,1,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,6.54,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,1,13,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,4.5,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
334,4.42,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
242,5.43,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,2,24,200,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,5.68,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,3.05,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
334,4.71,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422,2.18,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,4,42,478,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,3.17,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,19.41,GT_250,0,0,1,M,0,1,40-49,0,0,1,0,0,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,8.98,GT_250,0,0,1,M,0,1,50-59,0,0,0,1,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,6.68,GT_250,0,0,1,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,6.5,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,19.69,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.36,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.76,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,11.13,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,16.28,GT_250,0,0,1,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,9.28,GT_250,0,0,1,F,1,0,40-49,0,0,1,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,8.89,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,2.73,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,8.74,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,9.73,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,5.41,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,2.99,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,8.92,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,7.61,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
221,12.17,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G4,0,0,0,1,2,22,200,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,9.24,GT_250,0,0,1,M,0,1,50-59,0,0,0,1,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,9.51,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,9.71,GT_250,0,0,1,M,0,1,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,7.61,GT_250,0,0,1,M,0,1,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
261,4.66,GT_250,0,0,1,M,0,1,14-29,1,0,0,0,0,G3,0,0,1,0,2,26,200,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
334,3.97,GT_250,0,0,1,M,0,1,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
331,7.61,GT_250,0,0,1,M,0,1,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,15.92,GT_250,0,0,1,M,0,1,40-49,0,0,1,0,0,G4,0,0,0,1,1,13,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,14.63,GT_250,0,0,1,M,0,1,50-59,0,0,0,1,0,G4,0,0,0,1,1,13,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.46,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,10.36,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,3.3,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,6.19,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,5.46,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,15.6,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,12.51,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,3.45,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,3.6,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,4,41,478,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,2.72,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,2.56,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,4,41,478,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,2.26,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,4,41,478,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,2.21,GT_250,0,0,1,F,1,0,14-29,1,0,0,0,0,G2,0,1,0,0,4,41,478,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.71,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,8.29,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.29,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,10.95,GT_250,0,0,1,F,1,0,40-49,0,0,1,0,0,G4,0,0,0,1,1,13,100,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,14.56,GT_250,0,0,1,F,1,0,60+,0,0,0,0,1,G2,0,1,0,0,3,33,300,True,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.3,GT_250,0,0,1,F,1,0,50-59,0,0,0,1,0,G4,0,0,0,1,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,10.82,GT_250,0,0,1,F,1,0,40-49,0,0,1,0,0,G2,0,1,0,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
332,7.96,GT_250,0,0,1,F,1,0,40-49,0,0,1,0,0,G3,0,0,1,0,3,33,300,False,K,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
811,4.13,1_49,1,0,0,M,0,1,60+,0,0,0,0,1,G2,0,1,0,0,8,81,478,False,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,4.13,1_49,1,0,0,M,0,1,50-59,0,0,0,1,0,G2,0,1,0,0,8,83,478,False,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,2.46,1_49,1,0,0,M,0,1,40-49,0,0,1,0,0,G2,0,1,0,0,8,83,478,False,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,4.54,1_49,1,0,0,M,0,1,30-39,0,1,0,0,0,G3,0,0,1,0,8,83,478,False,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,7.02,GT_250,0,0,1,F,1,0,30-39,0,1,0,0,0,G3,0,0,1,0,2,24,200,False,J,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
